Height(cm),Weight(kg),Class
171.40842141405886,69.03793522418515,Normal
153.9356883748205,47.79750816218935,Underweight
176.5739605465234,78.87143757172358,Overweight
170.66309293452898,70.26371396688934,Normal
164.00991158352414,68.73092188134976,Normal
173.44241859624879,88.91073884868632,Overweight
163.74920615999537,50.765359854718305,Underweight
168.18508809416036,86.63466041920044,Overweight
176.46837222371582,94.48210900033776,Overweight
179.19893243003716,89.62551210259333,Overweight
160.6763726935085,54.375691156050706,Underweight
167.42811141946825,73.0143671453471,Overweight
176.29959819572287,89.70929285260712,Overweight
178.0929214774563,84.0105972470539,Overweight
179.17950293765037,73.92747510295575,Overweight
174.7015908552763,65.51753332837743,Normal
169.70103175214368,67.85839774940663,Normal
149.8235823314591,47.54574199801973,Underweight
156.64726061790495,51.33501568836588,Underweight
163.49009177813255,56.483631585023204,Underweight
175.92672590462342,90.02912227177642,Overweight
176.78619940643966,80.25518294981622,Overweight
174.74124701776603,76.43102519692924,Normal
155.75788390844104,58.2110953172147,Underweight
169.81707679208472,63.566726640049815,Normal
155.91766500624024,57.52736788905408,Underweight
164.02112789722804,73.49798234498755,Normal
161.62187889141128,61.06206644411448,Underweight
171.6508610367146,80.31854012189005,Normal
164.58206476005057,52.487562701302075,Underweight
172.34181224674202,78.37365643227365,Overweight
177.74052724115106,83.35217598359992,Overweight
176.02951157887244,87.21837051555906,Overweight
172.47630504897015,72.15234661733227,Normal
157.5739499235026,54.05477557647265,Underweight
165.7001368763758,75.4966454580681,Overweight
159.92421056492907,56.15337775131157,Underweight
158.3755095370378,58.46730067547198,Underweight
171.2405715879198,78.05587339394478,Overweight
178.80352145871564,78.96728306999789,Overweight
183.4530104304701,91.59540889848857,Overweight
176.98449931394606,73.46520436877996,Normal
172.1363972120299,74.38036976900261,Normal
178.7289549543317,88.05476013622345,Overweight
152.90595999074503,47.15876631240174,Underweight
164.18063100657278,76.22278601054832,Normal
164.41430531040547,67.0210196557641,Normal
162.39629054580354,58.6704856758808,Underweight
165.7153396398932,75.05365396874456,Normal
161.73707851333305,56.62133263077524,Underweight
162.4783342243884,56.19855741097601,Underweight
181.25867938737062,84.57916928295525,Overweight
168.40826349190468,85.27504182513367,Overweight
162.42543374354153,84.40788409013139,Overweight
149.28707126718763,52.88996268896349,Underweight
163.7418877784345,70.11308016321095,Normal
165.33654012395525,58.20604741195168,Underweight
168.22146971088148,64.1902401741075,Normal
170.91665483841646,78.38732340700841,Normal
163.1381875637279,68.49356681391482,Normal
183.99713192663788,81.74955428024067,Overweight
165.37378374913433,67.43270182644882,Normal
178.9174774717409,78.60497952058643,Overweight
181.0864988404095,81.01912456863327,Overweight
179.09816867647893,82.62936509548688,Overweight
178.81655777647816,74.59926247055799,Normal
174.90234347916285,80.13741853753817,Overweight
175.3194460992977,71.8105403566319,Normal
160.64871894379638,66.32700498026745,Normal
166.18355931955745,63.980636673706236,Normal
161.55655300228906,60.59962083454077,Underweight
167.68680538183213,70.32412408680035,Normal
166.24561600348142,75.30138703958129,Normal
167.99419229364617,76.50515360322176,Normal
160.87906907486632,50.71429490094916,Underweight
160.40065101688714,56.59619556222087,Underweight
171.38971981084688,68.77971957677816,Normal
166.25814786910712,71.75188510258884,Normal
169.96848569003492,73.90236290544661,Normal
167.04634566025086,72.40199190141377,Normal
172.88401677722388,77.3035986047819,Normal
174.1053837254244,82.96229336096873,Overweight
161.58688697358733,58.771700262086355,Underweight
174.7327601064552,62.695648105808345,Normal
179.74756995910064,68.89605142019884,Normal
161.5004104393108,62.33863895978806,Underweight
166.56614458049836,85.57250887255644,Overweight
153.53851565157154,53.333701700191845,Underweight
175.67835366117563,71.28954573632464,Normal
168.4648865959548,69.79340080873259,Normal
169.93166011006738,72.36111854091838,Normal
174.08679986430178,82.0233250757889,Overweight
175.3821698955031,90.03312901616759,Overweight
167.57751184035004,58.65516975322794,Underweight
167.93170718953814,76.30925142832601,Normal
155.28324309371436,60.973368862891796,Underweight
181.74454726140377,84.01863192504192,Overweight
154.5648666054243,65.0061305023216,Underweight
154.0387857658006,54.26362888352178,Underweight
159.6063870272737,44.449245519610926,Underweight
161.69991119571355,49.07026886428267,Underweight
164.53793065739848,52.75970261723595,Underweight
172.34733824158172,87.54532583981764,Overweight
164.08472448062165,50.906790746104335,Underweight
162.299133535788,69.27038479262654,Normal
166.03280394580827,89.23587444265618,Overweight
175.88442218064435,67.42049018636372,Normal
176.8141631470423,68.85005824965872,Normal
180.5386244684511,84.0702031583978,Overweight
157.74502078720343,46.9242848091674,Underweight
168.89097960522628,70.71671972914699,Normal
154.21804125243304,55.956514480764994,Underweight
167.10446855782547,63.629718436898564,Normal
171.81167728121352,82.2186145903011,Overweight
161.01720662786445,52.08543573171027,Underweight
167.53295343934533,90.41900545030555,Overweight
161.21521756716118,57.499162685980735,Underweight
151.98335797846877,59.47717192367854,Underweight
171.33392000943758,70.91290092577128,Normal
157.68010045334614,58.489886926603866,Underweight
167.18825788440108,72.8132552172219,Normal
157.3421056968414,60.0236875374849,Underweight
167.7454004486107,69.29138107363387,Normal
174.67324671640188,84.70585292341968,Overweight
159.94610555687603,62.654241725284024,Underweight
176.001961514746,96.25086403818688,Overweight
168.35713870094315,58.12581544359125,Underweight
165.9241124205252,66.63227682241427,Normal
161.80682965094587,62.9636574363919,Underweight
173.98034708456058,84.16231779237023,Overweight
153.86461657254378,58.24355606771714,Underweight
175.38251161545287,84.69894490155798,Overweight
179.3220714108819,96.83958410216694,Overweight
159.48586304133528,66.91255902878228,Normal
188.47592541859666,84.2193548248987,Overweight
172.43748965070412,85.87054460857944,Overweight
160.94944913133097,54.4995072368211,Underweight
171.45488728452023,73.0542144777422,Normal
155.1654130851605,60.403649548848946,Underweight
165.78244707012678,48.324324110844564,Underweight
158.46514326560495,56.11078569998022,Underweight
174.60406952405657,92.5926327724097,Overweight
179.5491292785509,81.26289004363545,Overweight
156.2018786546893,49.35552652311076,Underweight
178.53579583991774,83.1486430072168,Overweight
181.93316061060858,85.66030562293648,Overweight
166.0077582720072,73.99769918950743,Normal
158.38339633337836,55.46406471569268,Underweight
174.59690116346712,86.13027611862047,Overweight
176.32344043245718,89.02096199174483,Overweight
